cod_final,n1,n2,nome,n_produtos,anos_cobertos,anos_ausentes
34001,Transporte,Transporte,Urbano,161,5,
34002,Transporte,Transporte,Gasolina para veiculo proprio,12,5,
34003,Transporte,Transporte,Alcool para veiculo proprio,6,5,
34004,Transporte,Transporte,Manutencao de veiculo proprio,414,5,
34005,Transporte,Transporte,Aquisicao de veiculos,130,5,
34006,Transporte,Transporte,Viagens,280,5,
34007,Transporte,Transporte,Outros transporte,177,5,
35001,Higiene_e_cuidados_pessoais,Higiene_e_cuidados_pessoais,Perfume,22,5,
35002,Higiene_e_cuidados_pessoais,Higiene_e_cuidados_pessoais,Produtos para cabelo,119,5,
35003,Higiene_e_cuidados_pessoais,Higiene_e_cuidados_pessoais,Sabonete,13,5,
35004,Higiene_e_cuidados_pessoais,Higiene_e_cuidados_pessoais,Produtos de uso pessoal,521,5,
36001,Assistencia_a_saude,Assistencia_a_saude,Remedios,925,5,
36002,Assistencia_a_saude,Assistencia_a_saude,Plano Seguro saude,38,5,
36003,Assistencia_a_saude,Assistencia_a_saude,Consulta e tratamento dentario,41,5,
36004,Assistencia_a_saude,Assistencia_a_saude,Consulta medica,134,5,
36005,Assistencia_a_saude,Assistencia_a_saude,Tratamento ambulatorial,103,5,
36006,Assistencia_a_saude,Assistencia_a_saude,Servicos de cirurgia,23,4,2017
36007,Assistencia_a_saude,Assistencia_a_saude,Hospitalizacao,17,5,
36008,Assistencia_a_saude,Assistencia_a_saude,Exames diversos,138,5,
36009,Assistencia_a_saude,Assistencia_a_saude,Material de tratamento,266,5,
36010,Assistencia_a_saude,Assistencia_a_saude,Outras assistencia saude,119,5,
37001,Educacao,Educacao,Cursos regulares,59,4,1987
37002,Educacao,Educacao,Curso superior,33,5,
37003,Educacao,Educacao,Outros cursos,257,4,1987
37004,Educacao,Educacao,Livros e revistas tecnicas,48,4,2017
37005,Educacao,Educacao,Artigos escolares,306,5,
37006,Educacao,Educacao,Outras educacao,210,5,
38001,Recreacao_e_cultura,Recreacao_e_cultura,Brinquedos e jogos,302,5,
38002,Recreacao_e_cultura,Recreacao_e_cultura,Celular e acessorios,30,3,"1987, 2017"
38003,Recreacao_e_cultura,Recreacao_e_cultura,Periodicos livros e revistas,105,5,
38004,Recreacao_e_cultura,Recreacao_e_cultura,Diversoes e esportes,496,5,
38005,Recreacao_e_cultura,Recreacao_e_cultura,Outras recreacao etc,489,5,
39001,Servicos_pessoais,Servicos_pessoais,Fumo,125,5,
39002,Servicos_pessoais,Servicos_pessoais,Cabeleireiro,65,5,
39003,Servicos_pessoais,Servicos_pessoais,Manicuro e pedicuro,16,5,
39004,Servicos_pessoais,Servicos_pessoais,Consertos de artigos pessoais,136,5,
39005,Servicos_pessoais,Servicos_pessoais,Outras servicos pessoais,134,5,
40001,Despesas_diversas,Despesas_diversas,Jogos e apostas,125,5,
40002,Despesas_diversas,Despesas_diversas,Comunicacao,98,4,1995
40003,Despesas_diversas,Despesas_diversas,Cerimonias e festas,197,5,
40004,Despesas_diversas,Despesas_diversas,Servicos profissionais,131,4,2017
40005,Despesas_diversas,Despesas_diversas,Imoveis de uso ocasional,183,5,
40006,Despesas_diversas,Despesas_diversas,Outras despesas diversas,601,5,
41001,Outras_despesas_correntes,Outras_despesas_correntes,Impostos,249,4,1987
41002,Outras_despesas_correntes,Outras_despesas_correntes,Contribuicoes trabalhistas,166,5,
41003,Outras_despesas_correntes,Outras_despesas_correntes,Servicos bancarios,95,5,
41004,Outras_despesas_correntes,Outras_despesas_correntes,Pensoes mesadas e doacoes,103,5,
41005,Outras_despesas_correntes,Outras_despesas_correntes,Previdencia privada,16,5,
41006,Outras_despesas_correntes,Outras_despesas_correntes,Outras despesas,309,5,
42001,Aumento_do_ativo,Aumento_do_ativo,Imovel aquisicao,73,5,
42002,Aumento_do_ativo,Aumento_do_ativo,Imovel reforma,772,5,
42003,Aumento_do_ativo,Aumento_do_ativo,Outros investimentos,32,4,2017
43001,Diminuicao_do_passivo,Diminuicao_do_passivo,Emprestimo e carne,36,5,
43002,Diminuicao_do_passivo,Diminuicao_do_passivo,Prestacao de imovel,13,5,
44001,Rendimento_do_trabalho,Rendimento_do_trabalho,Empregado,109,5,
44002,Rendimento_do_trabalho,Rendimento_do_trabalho,Empregador,7,4,1995
44003,Rendimento_do_trabalho,Rendimento_do_trabalho,Conta propria,6,5,
44004,Rendimento_do_trabalho,Rendimento_do_trabalho,Trabalho Nao remunerado,8,3,"1987, 1995"
45001,Transferencia,Transferencia,Aposentadoria prev publica,32,5,
45002,Transferencia,Transferencia,Aposentadoria prev privada,18,5,
45003,Transferencia,Transferencia,Bolsa de estudo,4,4,2008
45004,Transferencia,Transferencia,Pensao aliment mesada doacao,16,5,
45005,Transferencia,Transferencia,Transferencias transitorias,127,5,
46001,Rendimento_de_aluguel,Rendimento_de_aluguel,Aluguel de bens imoveis,14,5,
46002,Rendimento_de_aluguel,Rendimento_de_aluguel,Aluguel de bens moveis,4,2,"1987, 1995, 2008"
47001,Outros_rendimentos,Outros_rendimentos,Vendas esporadicas,114,4,1987
47002,Outros_rendimentos,Outros_rendimentos,Emprestimos,13,4,1987
47003,Outros_rendimentos,Outros_rendimentos,Aplicacoes de capital,72,5,
47004,Outros_rendimentos,Outros_rendimentos,Outros renda,248,5,
88888,Inventário,Inventário,Inventário,194,5,
