cod_final,n1,n2,nome,status,n_produtos,n_celulas,anos_cobertos,anos_ausentes,regras,dominio
05303,"5. Farinhas, féculas e massas",5.3 Massas,Massa de pizza; Outras; Massa de lasanha,ativo,143,73,5,,,food
06101,6. Panificados,6.1 Pães,Pão de forma industrializado,ativo,145,16,5,,,food
06102,6. Panificados,6.1 Pães,Pão doce,ativo,336,9,5,,,food
06103,6. Panificados,6.1 Pães,Pão francês,ativo,218,13,5,,,food
06104,6. Panificados,6.1 Pães,Pão caseiro; Pão de forma de padaria; Pão de milho; Pão de queijo; Pão integral; Torrada; Outros,ativo,351,177,5,,,food
06201,6. Panificados,6.2 Bolos,Bolo de trigo; Outros bolos,ativo,272,112,5,,,food
06301,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito doce,ativo,563,26,5,,,food
06302,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito salgado,ativo,238,14,5,,,food
06303,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito não especificado; Rosca doce; Rosca não especificada; Rosca salgada; Outros,ativo,224,64,5,,,food
07101,7. Carnes,7.1 Carnes bovinas de primeira,Alcatra,ativo,46,7,5,,,food
07102,7. Carnes,7.1 Carnes bovinas de primeira,Carne moída,ativo,15,8,5,,,food
07103,7. Carnes,7.1 Carnes bovinas de primeira,Carne não especificada,ativo,78,24,5,,,food
07104,7. Carnes,7.1 Carnes bovinas de primeira,Chã-de-dentro,ativo,24,9,5,,,food
07105,7. Carnes,7.1 Carnes bovinas de primeira,Contrafilé,ativo,27,5,5,,,food
07106,7. Carnes,7.1 Carnes bovinas de primeira,Filé e filé mignon; Filé mignon,ativo,26,8,5,,,food
07107,7. Carnes,7.1 Carnes bovinas de primeira,Lagarto comum,ativo,54,12,5,,,food
07108,7. Carnes,7.1 Carnes bovinas de primeira,Lagarto redondo,ativo,25,4,4,2002,,food
07109,7. Carnes,7.1 Carnes bovinas de primeira,Patinho,ativo,24,6,5,,,food
07201,7. Carnes,7.2 Carnes bovinas de segunda,Acém,ativo,32,5,5,,,food
07203,7. Carnes,7.2 Carnes bovinas de segunda,Carne moída,ativo,26,8,4,2002,,food
07204,7. Carnes,7.2 Carnes bovinas de segunda,Costela,ativo,17,5,5,,,food
07205,7. Carnes,7.2 Carnes bovinas de segunda,Músculo,ativo,63,9,5,,,food
07206,7. Carnes,7.2 Carnes bovinas de segunda,Pá,ativo,39,5,5,,,food
07207,7. Carnes,7.2 Carnes bovinas de segunda,Peito,ativo,11,5,5,,,food
07208,7. Carnes,7.2 Carnes bovinas de segunda,Outros Capa de filé; Carne não especificada; Carne de hambúrger; Carne de sol; Carne moída não especificada; Mocotó; Outras; Carne-seca,ativo,298,121,5,,,food
07401,7. Carnes,7.4 Carnes suínas com osso e sem osso,Carré,ativo,23,5,5,,,food
07402,7. Carnes,7.4 Carnes suínas com osso e sem osso,Costela,ativo,23,15,5,,,food
07403,7. Carnes,7.4 Carnes suínas com osso e sem osso,Lombo,ativo,34,14,5,,,food
07404,7. Carnes,7.4 Carnes suínas com osso e sem osso,Pernil,ativo,9,6,5,,,food
07405,7. Carnes,7.4 Carnes suínas com osso e sem osso,Porco eviscerado; Outras,ativo,32,18,5,,,food
07501,7. Carnes,7.5 Carnes suínas outras,Mortadela,ativo,44,10,5,,,food
07502,7. Carnes,7.5 Carnes suínas outras,Presunto,ativo,45,20,5,,,food
07503,7. Carnes,7.5 Carnes suínas outras,Salsicha; Salsicha comum,ativo,50,14,5,,,food
07504,7. Carnes,7.5 Carnes suínas outras,Toucinho fresco; Toucinho defumado; Toucinho,ativo,53,15,5,,,food
07506,7. Carnes,7.5 Carnes suínas outras,Outras; Cane salgada não especificada; Costela de porco salgada; Paio; Pé de porco salgado; Salame,ativo,217,134,5,,,food
07601,7. Carnes,7.6 Carnes de outros animais,Linguiça,ativo,44,15,5,,,food
07602,7. Carnes,7.6 Carnes de outros animais,Outras; Carne de cabrito; Carne de carneiro,ativo,237,84,5,,,food
08101,8. Vísceras,8.1 Vísceras,Bovina Fígado,ativo,27,17,5,,,food
08102,8. Vísceras,8.1 Vísceras,Bovina Outras; Bucho; Língua,ativo,169,77,5,,,food
08103,8. Vísceras,8.1 Vísceras,Vísceras suínas,ativo,170,95,5,,,food
08104,8. Vísceras,8.1 Vísceras,Outras vísceras,ativo,100,51,5,,,food
09101,9. Pescados,9.1 Pescados de água salgada,Bacalhau,ativo,5,5,5,,,food
09102,9. Pescados,9.1 Pescados de água salgada,Camarão fresco,ativo,125,29,5,,,food
09103,9. Pescados,9.1 Pescados de água salgada,Corvina fresca,ativo,78,27,5,,,food
09104,9. Pescados,9.1 Pescados de água salgada,Pescada em filé fresco,ativo,234,33,5,,,food
09107,9. Pescados,9.1 Pescados de água salgada,Sardinha em conserva,ativo,25,14,5,,,food
09108,9. Pescados,9.1 Pescados de água salgada,Sardinha fresca,ativo,138,39,5,,,food
09109,9. Pescados,9.1 Pescados de água salgada,Outros; Anchova fresca; Bagre fresco; Cação fresco; Meluza em filé congelado; Merluza em filé fresco; Parati fresco; Pescada em filé congelado; Tainha fresca; Outros pescados em filé congelado; Outros pescados em filé fresco; Outros pescados frescos; Outros pescados salgados,ativo,4610,1875,5,,,food
09201,9. Pescados,9.2 Pescados de água doce e congelados,Pescados de água doce; Acará fresca; Acari fresco; Anujá fresco; Curimatã fresco; Dourada fresca; Jaraqui fresco; Lambari fresco; Mapará fresco; Piau fresco; Surubim fresco; Tambaqui fresco; Tilápia fresca; Traíra fresca; Tucunaré fresco; Outros pescados em filé congelado; Outros pescados em filé fresco; Outros pescados frescos; Outros pescados salgados; Pescados não especificados; Peixe em filé congelado; Peixe em filé fresco; Peixe fresco; Peixe salgado,ativo,3128,1339,5,,,food
10101,10. Aves e ovos,10.1 Aves,Asa de frango; Asa de galinha,ativo,27,7,5,,,food
10102,10. Aves e ovos,10.1 Aves,Carne de frango não especificada; Carne não especificada de galinha,ativo,75,34,5,,,food
10103,10. Aves e ovos,10.1 Aves,Coxa de frango; Coxa de galinha,ativo,30,7,5,,,food
10104,10. Aves e ovos,10.1 Aves,Frango abatido (inteiro); Frango abatido,ativo,71,17,5,,,food
10105,10. Aves e ovos,10.1 Aves,Frango vivo,ativo,17,5,5,,,food
10106,10. Aves e ovos,10.1 Aves,Peito de frango; Peito de galinha,ativo,27,9,5,,,food
10107,10. Aves e ovos,10.1 Aves,Outras; Dorso de frango; Miúdos de frango; Outras carnes de frango; Pato inteiro ou em cortes; Peru abatido; Peru em cortes,ativo,409,201,5,,,food
10201,10. Aves e ovos,10.2 Ovos,Ovo de galinha,ativo,15,7,5,,,food
10202,10. Aves e ovos,10.2 Ovos,Outros,ativo,24,24,5,,,food
11101,11. Laticínios,11.1 Leite e creme de leite,Creme de leite; Creme de leite em conserva,ativo,28,17,5,,,food
11102,11. Laticínios,11.1 Leite e creme de leite,Leite condensado,ativo,41,10,5,,,food
11103,11. Laticínios,11.1 Leite e creme de leite,Leite de vaca fresco,ativo,69,14,5,,,food
11104,11. Laticínios,11.1 Leite e creme de leite,Leite de vaca pasteurizado,ativo,59,15,5,,,food
11105,11. Laticínios,11.1 Leite e creme de leite,Leite em pó integral; Leite em pó desengordurado; Leite em pó não especificado,ativo,89,26,5,,,food
11106,11. Laticínios,11.1 Leite e creme de leite,Outros,ativo,290,53,5,,,food
11201,11. Laticínios,11.2 Queijos e requeijão,Queijo minas,ativo,94,13,5,,,food
11202,11. Laticínios,11.2 Queijos e requeijão,Queijo mozarela,ativo,56,11,5,,,food
11203,11. Laticínios,11.2 Queijos e requeijão,Queijo prato,ativo,27,9,5,,,food
11204,11. Laticínios,11.2 Queijos e requeijão,Outros queijos; Queijo não especificado; Queijo parmezão,ativo,207,98,5,,,food
11205,11. Laticínios,11.2 Queijos e requeijão,Requeijão,ativo,48,8,5,,,food
11301,11. Laticínios,11.3 Outros laticínios,Iogurte,ativo,92,24,5,,,food
11302,11. Laticínios,11.3 Outros laticínios,Leite fermentado,ativo,37,15,5,,,food
11303,11. Laticínios,11.3 Outros laticínios,Manteiga,ativo,43,8,5,,,food
11304,11. Laticínios,11.3 Outros laticínios,Outros,ativo,37,22,5,,,food
12101,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",Açúcar cristal,ativo,31,12,5,,,food
12102,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",Açúcar refinado; Açúcar não especificado; Açúcar demerara,ativo,52,15,5,,,food
12103,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",Outros,ativo,177,58,5,,,food
12201,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Doce a base de leite,ativo,262,77,5,,,food
12202,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Doce de fruta,ativo,383,48,5,,,food
12203,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Sorvete,ativo,104,27,5,,,food
12204,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Outros; Rapadura; Bombom; Chiclete; Chocolate em tablete,ativo,905,248,5,,,food
12205,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Pamonha,ativo,44,10,5,,,food
12301,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,Chocolate em pó,ativo,86,5,5,,,food
12302,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,Outros; Polpa de fruta; Gelatina; Mel de abelha,ativo,121,40,5,,,food
12303,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,Mel de abelha,ativo,40,7,5,,,food
12304,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,Melado de cana,ativo,8,5,5,,,food
12305,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,Gelatina,ativo,84,12,5,,,food
13101,13. Sais e condimentos,13.1 Sais,Sal grosso,ativo,15,5,5,,,food
13102,13. Sais e condimentos,13.1 Sais,Sal refinado,ativo,23,11,5,,,food
13103,13. Sais e condimentos,13.1 Sais,Outros,ativo,27,19,5,,,food
13201,13. Sais e condimentos,13.2 Condimentos,Caldo de carne em tablete,ativo,7,5,5,,,food
13202,13. Sais e condimentos,13.2 Condimentos,Caldo de galinha em tablete,ativo,5,5,5,,,food
13203,13. Sais e condimentos,13.2 Condimentos,Fermento,ativo,12,5,5,,,food
13204,13. Sais e condimentos,13.2 Condimentos,Maionese,ativo,35,7,5,,,food
13205,13. Sais e condimentos,13.2 Condimentos,Massa de tomate,ativo,20,5,5,,,food
13206,13. Sais e condimentos,13.2 Condimentos,Molho de tomate,ativo,45,15,5,,,food
