ano,cod_final,nome_final,descri_item,codigo,quadro,decisao,onda,motivo
1987,42002,Imovel reforma,DUREPOX,1046,10,,,
1987,42002,Imovel reforma,EPOX (COLA),1046,10,,,
1987,42002,Imovel reforma,CUBA PARA PIA,1047,10,,,
1987,42002,Imovel reforma,PIA (CUBA),1047,10,,,
1987,42002,Imovel reforma,CALHA,1048,10,,,
1987,42002,Imovel reforma,ESQUADRIA,1049,10,,,
1987,42002,Imovel reforma,FOLHA DE FORMICA,1050,10,,,
1987,42002,Imovel reforma,FORMICA (FOLHA),1050,10,,,
1987,42002,Imovel reforma,POSTE (CIMENTO),1051,10,,,
1987,42002,Imovel reforma,CUPINICIDA,1052,10,,,
1987,42002,Imovel reforma,REMEDIO PARA CUPIM (CUPINICIDA),1052,10,,,
1987,42002,Imovel reforma,CLORO PARA PISCINA,1053,10,,,
1987,42002,Imovel reforma,PRODUTOS PARA PISCINA,1053,10,,,
1987,42002,Imovel reforma,BETUME,1054,10,,,
1987,42002,Imovel reforma,ESCADA CARACOL,1055,10,,,
1987,42002,Imovel reforma,IMPERMEABILIZANTE,1056,10,,,
1987,42002,Imovel reforma,PALHA PARA COBERTURA,1057,10,,,
1987,42002,Imovel reforma,SAPE PARA COBERTURA,1057,10,,,
1987,42002,Imovel reforma,ESCADA DE CONCRETO (PRE-MOLDADA),1058,10,,,
1987,42002,Imovel reforma,MASSA PARA FIXAÇÃO E VEDAÇÃO DE VIDRO,1059,10,,,
1987,42002,Imovel reforma,GRADE DE MADEIRA,1060,10,,,
1987,42002,Imovel reforma,BANDEIRA DE JANELA,1061,10,,,
1987,42002,Imovel reforma,AGREGADO,1098,10,,,
1987,42002,Imovel reforma,"DESPESAS COM CONSTRUÇÃO, REFORMA E MANUTENÇÃO DE JAZIGO",1100,11,,,
1987,42002,Imovel reforma,CONSTRUÇÃO DE JAZIGO,1101,11,,,
1987,42002,Imovel reforma,REFORMA DE JAZIGO,1102,11,,,
1987,42002,Imovel reforma,MANUTENÇÃO DE JAZIGO,1103,11,,,
1987,42002,Imovel reforma,EXUMAÇÃO,1104,11,,,
1987,42002,Imovel reforma,TRANSFERENCIA DE OSSOS,1104,11,,,
1987,42002,Imovel reforma,LAPIDE DE JAZIGO,1105,11,,,
1987,42002,Imovel reforma,PLACA PARA JAZIGO,1106,11,,,
1987,42002,Imovel reforma,CONDOMINIO DE JAZIGO,1107,11,,,
1987,42002,Imovel reforma,TAXA DE CONDOMINIO DE JAZIGO,1107,11,,,
1987,42002,Imovel reforma,GRAVAÇÃO EM JAZIGO,1108,11,,,
1987,42002,Imovel reforma,AGREGADO,1198,11,,,
1987,32005,Consertos de artigos do lar,"DESPESAS COM CONSERTO E MANUTENÇÃO DE MOVEIS, APARELHOS, MAQUINAS E UTENSILIOS DOMESTICOS",1200,12,,,
1987,32005,Consertos de artigos do lar,CONSERTO DE MOVEIS,1201,12,,,
1987,32005,Consertos de artigos do lar,MANUTENÇÃO DE MOVEIS,1202,12,,,
1987,32005,Consertos de artigos do lar,CONSERTO DE APARELHO DOMESTICO (PEÇA),1203,12,,,
1987,32005,Consertos de artigos do lar,CONSERTO DE APARELHO DOMESTICO (MÃO-DE-OBRA),1204,12,,,
1987,32005,Consertos de artigos do lar,CONSERTO DE APARELHO DOMESTICO (PEÇA+MÃO-DE-OBRA),1205,12,,,
1987,32005,Consertos de artigos do lar,MANUTENÇÃO DE APARELHO DOMESTICO (MATERIAL),1206,12,,,
1987,32005,Consertos de artigos do lar,MANUTENÇÃO DE APARELHO DOMESTICO (MÃO-DE-OBRA),1207,12,,,
1987,32005,Consertos de artigos do lar,MANUTENÇÃO DE APARELHO DOMESTICO (MATERIAL+MÃO-DE-OBRA),1208,12,,,
1987,32005,Consertos de artigos do lar,MANUTENÇÃO DE UTENSILIOS DOMESTICOS NÃO ELETRICOS (MATERIAL),1209,12,,,
1987,32005,Consertos de artigos do lar,MANUTENÇÃO DE UTENSILIOS DOMESTICOS NÃO ELETRICOS (MÃO-DE-OBRA),1210,12,,,
1987,32005,Consertos de artigos do lar,MANUTENÇÃO DE UTENSILIOS DOMESTICOS NÃO ELETRICOS (MATERIAL+MÃO-DE-OBRA),1211,12,,,
1987,32005,Consertos de artigos do lar,CONSERTO DE UTENSILIOS DOMESTICOS NÃO ELETRICOS (PEÇA),1212,12,,,
1987,32005,Consertos de artigos do lar,CONSERTO DE UTENSILIOS DOMESTICOS NÃO ELETRICOS (MÃO-DE-OBRA),1213,12,,,
1987,32005,Consertos de artigos do lar,CONSERTO DE UTENSILIOS DOMESTICOS NÃO ELETRICOS (PEÇA+MÃO-DE-OBRA),1214,12,,,
1987,32005,Consertos de artigos do lar,MONTAGEM DE MOVEIS,1215,12,,,
1987,32005,Consertos de artigos do lar,AGREGADO,1298,12,,,
1987,40006,Outras despesas diversas,DESPESAS COM ALUGUEL DE APARELHOS E UTILIDADES DE USO DOMESTICO,1300,13,,,
1987,40006,Outras despesas diversas,AR CONDICIONADO (ALUGUEL),1301,13,,,
1987,40006,Outras despesas diversas,TELEFONE (ALUGUEL),1302,13,,,
1987,40006,Outras despesas diversas,TELEVISÃO (ALUGUEL),1303,13,,,
1987,40006,Outras despesas diversas,VIDEO-CASSETE (ALUGUEL),1304,13,,,
1987,40006,Outras despesas diversas,BIP (ALUGUEL),1305,13,,,
1987,40006,Outras despesas diversas,MAQUINA DE COSTURA (ALUGUEL),1306,13,,,
1987,40006,Outras despesas diversas,PIANO (ALUGUEL),1307,13,,,
1987,40006,Outras despesas diversas,AGREGADO,1398,13,,,
1987,88888,Inventário,INVENTARIO DE BENS DURAVEIS DO DOMICILIO PRINCIPAL,1400,14,,,
1987,88888,Inventário,FOGÃO (INVENTARIO),1401,14,,,
1987,88888,Inventário,FREEZER (INVENTARIO),1402,14,,,
1987,88888,Inventário,GELADEIRA (INVENTARIO),1403,14,,,
1987,88888,Inventário,MAQUINA DE LAVAR PRATOS (INVENTARIO),1404,14,,,
1987,88888,Inventário,BATEDEIRA DE BOLO (INVENTARIO),1405,14,,,
1987,88888,Inventário,LIQUIDIFICADOR (INVENTARIO),1406,14,,,
1987,88888,Inventário,TORRADEIRA ELETRICA (INVENTARIO),1407,14,,,
1987,88888,Inventário,ASPIRADOR DE PO (INVENTARIO),1408,14,,,
1987,88888,Inventário,ENCERADEIRA (INVENTARIO),1409,14,,,
1987,88888,Inventário,FERRO ELETRICO (INVENTARIO),1410,14,,,
1987,88888,Inventário,MAQUINA DE LAVAR ROUPAS (INVENTARIO),1411,14,,,
1987,88888,Inventário,MAQUINA DE SECAR ROUPAS (INVENTARIO),1412,14,,,
1987,88888,Inventário,TELEVISÃO EM CORES (INVENTARIO),1413,14,,,
1987,88888,Inventário,TELEVISÃO EM PRETO E BRANCO (INVENTARIO),1414,14,,,
1987,88888,Inventário,CONJUNTO DE SOM ACOPLADO (INVENTARIO),1415,14,,,
1987,88888,Inventário,GRAVADOR TOCA-FITAS (INVENTARIO),1416,14,,,
1987,88888,Inventário,RADIO DE MESA (INVENTARIO),1417,14,,,
1987,88888,Inventário,RADIO PORTATIL (INVENTARIO),1418,14,,,
