cod_final,n1,n2,nome,qualidade,n_produtos,anos_cobertos,anos_ausentes,nota,dominio
14202,14. Óleos e gorduras,14.2 Gorduras,Outras,Alta,57,5,,,food
15101,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Outras aguardentes,Alta,93,5,,,food
15102,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Cerveja,Alta,74,5,,,food
15103,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Vinho,Média,98,4,1995,Ausente em 1995; verificar se incorporado a outra categoria,food
15104,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Outras,Alta,171,5,,,food
15201,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Água mineral,Alta,89,5,,,food
15202,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de cola,Alta,78,5,,,food
15203,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de guaraná,Alta,55,5,,,food
15204,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de laranja,Alta,71,5,,,food
15205,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de limão,Alta,79,5,,,food
15206,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Outros refrigerantes,Alta,452,5,,,food
15207,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Suco de fruta em pó,Alta,82,5,,,food
15208,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Suco de fruta envasado,Alta,231,5,,,food
15209,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Outras,Alta,105,5,,,food
15301,15. Bebidas e infusões,15.3 Cafés,Café moído,Alta,27,5,,,food
15302,15. Bebidas e infusões,15.3 Cafés,Café solúvel,Alta,42,5,,,food
15303,15. Bebidas e infusões,15.3 Cafés,Outros,Alta,14,5,,,food
15401,15. Bebidas e infusões,15.4 Chás,Chá-mate,Alta,50,5,,,food
15402,15. Bebidas e infusões,15.4 Chás,Outros,Alta,258,5,,,food
16101,16. Outros produtos,16.1 Outros produtos,Frango assado ou defumado,Baixa,5,2,"2002, 2008, 2017","Ausente em 2002, 2008, 2017; verificar se incorporado a outra categoria",food
16102,16. Outros produtos,16.1 Outros produtos,Massa,Média,15,4,2017,Ausente em 2017; verificar se incorporado a outra categoria,food
16103,16. Outros produtos,16.1 Outros produtos,Outros produtos,Alta,311,5,,,food
16104,16. Outros produtos,16.1 Outros produtos,Refeição,Alta,1414,5,,,food
16105,16. Outros produtos,16.1 Outros produtos,Salgadinho,Alta,238,5,,,food
16106,16. Outros produtos,16.1 Outros produtos,Mistura para bolo,Alta,30,5,,,food
17101,17. Serviços e taxas de habitação,17.1 Habitação e utilidades,Aluguel,Alta,35,5,,,naoalim
17102,17. Serviços e taxas de habitação,17.1 Habitação e utilidades,Energia elétrica,Alta,7,5,,,naoalim
17103,17. Serviços e taxas de habitação,17.1 Habitação e utilidades,Gás doméstico,Alta,19,5,,,naoalim
17104,17. Serviços e taxas de habitação,17.1 Habitação e utilidades,Água e esgoto,Alta,6,5,,,naoalim
17201,17. Serviços e taxas de habitação,17.2 Telefonia e comunicações,Telefone fixo,Alta,18,5,,,naoalim
17202,17. Serviços e taxas de habitação,17.2 Telefonia e comunicações,Telefone celular (plano/serviço),Média (ausência histórica esperada),11,4,1987,Ausente em 1987; serviço ainda não era item de consumo relevante,naoalim
17301,17. Serviços e taxas de habitação,17.3 Outros serviços de habitação,Outros serviços e taxas de habitação,Alta,278,5,,,naoalim
18101,18. Habitação,18.1 Manutenção e limpeza,Manutenção do lar,Alta,935,5,,,naoalim
18102,18. Habitação,18.1 Manutenção e limpeza,Artigos de limpeza doméstica,Alta,733,5,,,naoalim
18103,18. Habitação,18.1 Manutenção e limpeza,Consertos de artigos do lar,Alta,595,5,,,naoalim
18201,18. Habitação,18.2 Mobiliário e eletrodomésticos,Mobiliários e artigos do lar,Alta,2876,5,,,naoalim
18202,18. Habitação,18.2 Mobiliário e eletrodomésticos,Eletrodomésticos,Alta,938,5,,,naoalim
19101,19. Vestuário,19.1 Roupas,Roupa de homem,Alta,290,5,,,naoalim
19102,19. Vestuário,19.1 Roupas,Roupa de mulher,Alta,430,5,,,naoalim
19103,19. Vestuário,19.1 Roupas,Roupa de criança,Alta,435,5,,,naoalim
19104,19. Vestuário,19.1 Roupas,Tecidos e armarinhos,Alta,211,5,,,naoalim
19201,19. Vestuário,19.2 Calçados e acessórios,Calçados e apetrechos,Alta,353,5,,,naoalim
19202,19. Vestuário,19.2 Calçados e acessórios,Joias e bijuterias,Alta,98,5,,,naoalim
20101,20. Transporte,20.1 Transporte coletivo,Transporte urbano e coletivo,Alta,161,5,,,naoalim
20201,20. Transporte,20.2 Veículo próprio,Gasolina para veículo próprio,Alta,12,5,,,naoalim
20202,20. Transporte,20.2 Veículo próprio,Álcool para veículo próprio,Alta,6,5,,,naoalim
20203,20. Transporte,20.2 Veículo próprio,Manutenção de veículo próprio,Alta,414,5,,,naoalim
20301,20. Transporte,20.3 Aquisição e outros,Aquisição de veículos,Alta,130,5,,,naoalim
20302,20. Transporte,20.3 Aquisição e outros,Viagens esporádicas,Alta,280,5,,,naoalim
20303,20. Transporte,20.3 Aquisição e outros,Outros transportes,Alta,177,5,,,naoalim
