Cod_harmo,nome,nivel1,nivel2,status,criado_em,extinto_em,substituido_por,nome_original
14104,Óleo não especificado; Óleo de girassol; Óleo de canola x. xOutros,14. Óleos e gorduras,14.1 Óleos,ativo,base,,,xx.x.x Óleo não especificadoxx.x.x Óleo de girassolxx.x.x Óleo de canola x. xOutros
14201,Margarina vegetal,14. Óleos e gorduras,14.2 Gorduras,ativo,base,,,xx.x.x Margarina vegetal
14202,Outras; Banha de porco,14. Óleos e gorduras,14.2 Gorduras,ativo,base,,,xx.x.x Outrasxx.x.x Banha de porco
15101,Outras aguardentes; Aguardente de cana,15. Bebidas e infusões,15.1 Bebidas alcoólicas,ativo,base,,,xx.x.x Outras aguardentesxx.x.x Aguardente de cana
15102,Cerveja,15. Bebidas e infusões,15.1 Bebidas alcoólicas,ativo,base,,,xx.x.x Cerveja
15103,Vinho,15. Bebidas e infusões,15.1 Bebidas alcoólicas,ativo,base,,,xx.x.x Vinho
15104,Outras,15. Bebidas e infusões,15.1 Bebidas alcoólicas,ativo,base,,,xx.x.x Outras
15201,Água mineral,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,ativo,base,,,xx.x.x Água mineral
15202,Refrigerante de cola,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,ativo,base,,,xx.x.x Refrigerante de cola
15203,Refrigerante de guaraná,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,ativo,base,,,xx.x.x Refrigerante de guaraná
15204,Refrigerante de laranja,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,ativo,base,,,xx.x.x Refrigerante de laranja
15205,Refrigerante de limão,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,ativo,base,,,xx.x.x Refrigerante de limão
15206,Outros refrigerantes; Refrigerante não especificado; Refrigerante de maçã; Refrigerante de uva; Bebida energética,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,ativo,base,,,xx.x.x Outros refrigerantesxx.x.x Refrigerante não especificadoxx.x.x Refrigerante de maçãxx.x.x Refrigerante de uvaxx.x.x Bebida energética
