906,0906,TAXA DE ILUMINAÇÃO PUBLICA,MANUTENÇÃO DE APARELHOS DOMÉSTICOS,0833,GRADE DE FERRO
906,0906,TAXA DE CONSERVAÇÃO URBANA,MANUTENÇÃO DE APARELHOS DOMÉSTICOS,0834,BLOCO DE CIMENTO
906,0906,TAXA DE LIXO,MANUTENÇÃO DE APARELHOS DOMÉSTICOS,0835,BOX DE BANHEIRO DE QUALQUER MATERIAL
906,0906,TAXA DE ASFALTAMENTO,MANUTENÇÃO DE APARELHOS DOMÉSTICOS,0836,TANQUE DE QUALQUER MATERIAL
906,0906,ASFALTAMENTO (TAXA),MANUTENÇÃO DE APARELHOS DOMÉSTICOS,0837,PORTAL
907,0907,TAXA DE OCUPAÇÃO DE IMOVEL,CONSERTO DE MOTO-BOMBA (PEÇA+MÃO-DE-OBRA),0838,CAIXA DE LUZ (PADRÃO)
908,0908,TAXA DE INSTALAÇÃO DE RELOGIO D'AGUA,CONSERTO DE FERRO ELÉTRICO (PEÇA+MÃO-DE-OBRA),0839,CAIXA DE DESCARGA
908,0908,INSTALAÇÃO DE RELOGIO D'AGUA (TAXA),CONSERTO DE FERRO ELÉTRICO (PEÇA+MÃO-DE-OBRA),0840,GESSO
908,0908,RELOGIO D'AGUA (TAXA DE INSTALAÇAO),CONSERTO DE FERRO ELÉTRICO (PEÇA+MÃO-DE-OBRA),0841,ESPELHO DE BANHEIRO
909,0909,TAXA DE TRANSFERENCIA DE TELEFONE,MANUTENÇÃO DE UTENSÍLIOS DOMÉSTICOS (EXCETO ELÉTRICOS),0842,MANILHA
909,0909,TRANSFERENCIA DE TELEFONE (TAXA),MANUTENÇÃO DE UTENSÍLIOS DOMÉSTICOS (EXCETO ELÉTRICOS),0843,"PLACA, ANEL, VIGA, PALANQUE, ETC., DE CIMENTO OU CONCRETO"
910,0910,"TAXA DE INSTALAÇÃO DE INTERFONE,TELEFONE",CONSERTO DE FERRO ELÉTRICO (PEÇA),0844,CAIXA DE REGISTRO DÀGUA
910,0910,INTERFONE (TAXA DE INSTALAÇÃO),CONSERTO DE FERRO ELÉTRICO (PEÇA),0845,MATERIAL PLÁSTICO PARA COBERTURA
910,0910,TELEFONE (TAXA DE INSTALAÇÃO),CONSERTO DE FERRO ELÉTRICO (PEÇA),0846,DUREPOX
911,0911,TAXA DE MANUTENÇÃO DE ELEVADOR,,0847,CUBA PARA PIA (QUALQUER MATERIAL)
911,0911,MANUTENÇÃO DE ELEVADOR,,0848,CALHA
996,0996,AGREGADO,,0849,ESQUADRIA
997,0997,VALOR ESCRITURAL DO IMOVEL ADQUIRIDO EM 1ª LOCAÇÃO (A VISTA OU A PRAZO),,0850,FÓRMICA (FOLHA)
998,0998,ALUGUEL ESTIMADO,AGREGADO 3,0851,POSTE (CIMENTO)
1000,1000,"DESPESAS COM CONSTRUÇÃO,REFORMA E PEQUENOS REPAROS DE IMOVEIS, E COM JARDINEIRO",DESPESAS DO DOMICÍLIO PRINCIPAL COM HABITAÇÃO,0852,CUPINICIDA
1001,1001,AZULEJO E PISO,,0853,PRODUTOS PARA PISCINA
1001,1001,PISO,,0854,BETUME
1002,1002,"PIA, VASO, BIDE, BANHEIRA, SABONETEIRA E CONJUNTO SANITARIO",,0855,ESCADA CARACOL
1002,1002,BIDE,,0856,IMPERMEABILIZANTE
1002,1002,CONJUNTO SANITARIO,,0857,PALHA PARA COBERTURA
1002,1002,VASO SANITARIO,,0858,ESCADA DE CONCRETO (PRÉ-MOLDADA)
1002,1002,BANHEIRA,,0859,MASSA DE FIXAÇÃO E VEDAÇÃO DE VIDRO
1002,1002,SABONETEIRA (NÃO PLASTICA),,0860,GRADE DE MADEIRA
1003,1003,JANELA E PORTA,,0861,BANDEIRA DE JANELA
1003,1003,PORTA,,0862,CONCRETO USINADO
1004,1004,MADEIRA E TACO,,0863,FORMA DE LAJE
1004,1004,TACO,,0864,TETO SOLAR
1005,1005,CIMENTO,ALUGUEL DO IMÓVEL (DOMICÍLIO PRINCIPAL),0866,FOSSA SÉPTICA
1005,1005,CIMENTO BRANCO,ALUGUEL DO IMÓVEL (DOMICÍLIO PRINCIPAL),0867,FIXOTAC
1006,1006,TIJOLO,,0868,MEIO-FIO DE CALÇADA
1007,1007,VIDRO,PRESTAÇÃO DO IMÓVEL (DOMICÍLIO PRINCIPAL),0869,LATA VAZIA (USADA EM CONSTRUÇÃO)
1008,1008,TINTA,,0870,RUFO DE TELHADO
1009,1009,MATERIAL DE PINTURA EM GERAL,,0871,ÓXIDO DE FERRO (PARA PISO DE CERÂMICA)
1009,1009,MASSA CORRIDA PARA PAREDE,,0872,CHAMINÉ PRONTA (QUALQUER MATERIAL)
1009,1009,CAL,,0873,LIXEIRA METÁLICA
1009,1009,CAL VIRGEM,,0898,AGREGADO 2
1009,1009,ROLO PARA PINTURA,,0900,"DESPESA COM CONSERTO E MANUTENÇÃO DE MOVEIS, APARELHOS, MAQUINAS E UTENSÍLIOS DOMESTICOS"
1009,1009,LIXA PARA MADEIRA,,0901,CONSERTO DE MOVEIS
1010,1010,"TORNEIRA,CANO E MATERIAL HIDRAULICO EM GERAL",ALUGUEL DE GARAGEM (DOMICÍLIO PRINCIPAL),0902,MANUTENÇÃO DE MOVEIS
1010,1010,CANO,ALUGUEL DE GARAGEM (DOMICÍLIO PRINCIPAL),0903,CONSERTO DE ASPIRADOR DE PÓ (PEÇA+MÃO-DE-OBRA)
1010,1010,MATERIAL HIDRAULICO,ALUGUEL DE GARAGEM (DOMICÍLIO PRINCIPAL),0906,MANUTENÇÃO DE APARELHOS DOMÉSTICOS
1011,1011,"FERRAGENS (FECHADURA, FERRO, ARAME, PREGO, ETC.)",,0907,CONSERTO DE MOTO-BOMBA (PEÇA+MÃO-DE-OBRA)
1011,1011,FECHADURA,,0908,CONSERTO DE FERRO ELÉTRICO (PEÇA+MÃO-DE-OBRA)
1011,1011,FERRO,,0909,MANUTENÇÃO DE UTENSÍLIOS DOMÉSTICOS (EXCETO ELÉTRICOS)
1011,1011,ARAME,,0910,CONSERTO DE FERRO ELÉTRICO (PEÇA)
