8,800105,PISO DE CERAMICA (PEQUENOS REPAROS),.,7,,00701,700701,700701,7007,ALCOOL (COMBUSTIVEL DOMESTICO),LENHA (COMBUSTIVEL DOMESTICO),800201,TIJOLO (PEQUENOS REPAROS),,8002,11027,11023,11023
8,800201,TIJOLO (PEQUENOS REPAROS),.,7,,00702,700702,700702,7007,ALCOOL (LITRO) (COMBUSTIVEL DOMESTICO),,800202,BLOCO DE CERAMICA (PEQUENOS REPAROS),,8002,11028,11024,11024
8,800202,BLOCO DE CERAMICA (PEQUENOS REPAROS),.,7,,00801,700801,700801,7008,OLEO DIESEL (COMBUSTIVEL DOMESTICO),GASOLINA (COMBUSTIVEL DOMESTICO),800301,"TELHA (BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.) (PEQUENOS REPAROS)",,8003,11029,11025,11025
8,800301,"TELHA (BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.) (PEQUENOS REPAROS)",.,7,,00802,700802,700802,7008,OLEO DIESEL (LITRO) (COMBUSTIVEL DOMESTICO),,800302,TELHA DE BARRO (PEQUENOS REPAROS),,8003,11030,11026,11026
8,800302,TELHA DE BARRO (PEQUENOS REPAROS),.,7,,00901,700901,700901,7009,GASOLINA (COMBUSTIVEL DOMESTICO),RECARGA DE BATERIA (ILUMINACAO DOMICILIAR),800303,TELHA DE AMIANTO (PEQUENOS REPAROS),,8003,11031,11027,11027
8,800303,TELHA DE AMIANTO (PEQUENOS REPAROS),.,7,,00902,700902,700902,7009,GASOLINA (LITRO) (COMBUSTIVEL DOMESTICO),,800304,TELHA DE FIBRA (PEQUENOS REPAROS),,8003,11032,11028,11028
8,800304,TELHA DE FIBRA (PEQUENOS REPAROS),.,7,,01001,701001,701001,7010,CARVAO PARA USO DOMESTICO,GAS DE BOTIJAO PARA ILUMINACAO,800305,TELHA DE ALUMINIO (PEQUENOS REPAROS),,8003,11033,11029,11029
8,800305,TELHA DE ALUMINIO (PEQUENOS REPAROS),.,7,,01101,701101,701101,7011,LENHA PARA USO DOMESTICO,PO DE SERRA (COMBUSTIVEL DOMESTICO),800401,CIMENTO (PEQUENOS REPAROS),,8004,11034,11030,11030
8,800401,CIMENTO (PEQUENOS REPAROS),.,7,,99901,799901,799901,7999,AGREGADO,AGREGADO,800402,CIMENTO BRANCO (PEQUENOS REPAROS),,8004,11035,11031,11031
8,800402,CIMENTO BRANCO (PEQUENOS REPAROS),.,8,,00101,800101,800101,8001,AZULEJO E PISO,AZULEJO E PISO (PEQUENOS REPAROS),800403,CIMENTCOLA OU CIMENTOCOLA (PEQUENOS REPAROS),,8004,11036,11032,11032
8,800403,CIMENTCOLA OU CIMENTOCOLA (PEQUENOS REPAROS),.,8,,00102,800102,800102,8001,PISO,AZULEJO (PEQUENOS REPAROS),800501,"AREIA, TERRA, BARRO, SAIBRO, CASCALHO, ETC. (PEQUENOS REPAROS)",,8005,11037,11033,11033
8,800501,"AREIA, TERRA, BARRO, SAIBRO, CASCALHO, ETC. (PEQUENOS REPAROS)",.,8,,00103,800103,800103,8001,RODAPE (EXCETO DE MADEIRA),PISO (PEQUENOS REPAROS),800601,"PEDRAS (BRITADA, MARROADA, PARALELEPIPEDO, ETC.) (PEQUENOS REPAROS)",,8006,11038,11034,11034
8,800601,"PEDRAS (BRITADA, MARROADA, PARALELEPIPEDO, ETC.) (PEQUENOS REPAROS)",.,8,,00104,800104,800104,8001,LAJOTA,LAJOTA (PEQUENOS REPAROS),800701,MASSA CORRIDA PARA PAREDE (PEQUENOS REPAROS),,8007,11039,11035,11035
8,800701,MASSA CORRIDA PARA PAREDE (PEQUENOS REPAROS),.,8,,00105,800105,800105,8001,AZULEJO,PISO DE CERAMICA (PEQUENOS REPAROS),800801,TINTA (PEQUENOS REPAROS),,8008,11040,11036,11036
8,800801,TINTA (PEQUENOS REPAROS),.,8,,00201,800201,800201,8002,"APARELHOS SANITARIOS (PIA, VASO, BIDE, BANHEIRA, ETC.)",TIJOLO (PEQUENOS REPAROS),800802,VERNIZ (PEQUENOS REPAROS),,8008,11041,11037,11037
8,800802,VERNIZ (PEQUENOS REPAROS),.,8,,00202,800202,800202,8002,BIDE,BLOCO DE CERAMICA (PEQUENOS REPAROS),800901,CAL (PEQUENOS REPAROS),,8009,11042,11038,11038
8,800901,CAL (PEQUENOS REPAROS),.,8,,00203,800203,800203,8002,CONJUNTO SANITARIO,,800902,CAL VIRGEM (PEQUENOS REPAROS),,8009,11043,11039,11039
8,800902,CAL VIRGEM (PEQUENOS REPAROS),.,8,,00204,800204,800204,8002,VASO SANITARIO,,801001,VIDRO (PEQUENOS REPAROS),,8010,11044,11040,11040
