0,1,2,3,4,5,6,7,8,9,10,11,12,13
1995,Despesas diversas (DDI),Assistencia_a_saude,Material_de_tratamento,"2951, 2954:2960, 2962:2967, 2969:2973, 2975:2978, 2980:2982, 4211:4212, 4223, 4227:4228, 4234",Assistencia_a_saude,Material_de_tratamento,Codigo  %in% c(,"2951, 2954:2960, 2962:2967, 2969:2973, 2975:2978, 2980:2982, 4211:4212, 4223, 4227:4228, 4234","), """,36009,""",",Material_de_tratamento,36009
1995,Despesas diversas (DDI),Assistencia_a_saude,Outras_assistencia_saude,"2952:2953, 2961, 2968, 2979, 2998, 4202, 4213, 4216:4219, 4222, 4229, 4298",Assistencia_a_saude,Outras_assistencia_saude,Codigo  %in% c(,"2952:2953, 2961, 2968, 2979, 2998, 4202, 4213, 4216:4219, 4222, 4229, 4298","), """,36010,""",",Outras_assistencia_saude,36010
1995,Despesas diversas (DDI),Educacao,Cursos_regulares,"4901, 4931:4932",Educacao,Cursos_regulares,Codigo  %in% c(,"4901, 4931:4932","), """,37001,""",",Cursos_regulares,37001
1995,Despesas diversas (DDI),Educacao,Curso_superior,4933,Educacao,Curso_superior,Codigo  %in% c(,4933,"), """,37002,""",",Curso_superior,37002
1995,Despesas diversas (DDI),Educacao,Outros_cursos,"4902, 4911, 4915, 4922:4923, 4934:4941, 4943:4944, 4947:4950, 4959",Educacao,Outros_cursos,Codigo  %in% c(,"4902, 4911, 4915, 4922:4923, 4934:4941, 4943:4944, 4947:4950, 4959","), """,37003,""",",Outros_cursos,37003
1995,Despesas diversas (DDI),Educacao,Livros_e_revistas_tecnicas,"4906:4908, 4945",Educacao,Livros_e_revistas_tecnicas,Codigo  %in% c(,"4906:4908, 4945","), """,37004,""",",Livros_e_revistas_tecnicas,37004
1995,Despesas diversas (DDI),Educacao,Artigos_escolares,"3201:3203, 3209, 3212:3213, 3298, 4919:4921, 4925, 4929",Educacao,Artigos_escolares,Codigo  %in% c(,"3201:3203, 3209, 3212:3213, 3298, 4919:4921, 4925, 4929","), """,37005,""",",Artigos_escolares,37005
1995,Despesas diversas (DDI),Educacao,Outras_educacao,"4803, 4813, 4847, 4903:4905, 4909:4910, 4912, 4914, 4916:4918, 4924, 4927:4928, 4930, 4942, 4946, 4998",Educacao,Outras_educacao,Codigo  %in% c(,"4803, 4813, 4847, 4903:4905, 4909:4910, 4912, 4914, 4916:4918, 4924, 4927:4928, 4930, 4942, 4946, 4998","), """,37006,""",",Outras_educacao,37006
1995,Despesas diversas (DDI),Recreacao_e_cultura,Brinquedos_e_jogos,"3301, 3303:3305, 3314, 3316, 3320",Recreacao_e_cultura,Brinquedos_e_jogos,Codigo  %in% c(,"3301, 3303:3305, 3314, 3316, 3320","), """,38001,""",",Brinquedos_e_jogos,38001
1995,Despesas diversas (DDI),Recreacao_e_cultura,Celular_e_acessorios,"1672, 1677",Recreacao_e_cultura,Celular_e_acessorios,Codigo  %in% c(,"1672, 1677","), """,38002,""",",Celular_e_acessorios,38002
1995,Despesas diversas (DDI),Recreacao_e_cultura,Periodicos_livros_e_revistas,"2701:2703, 3204:3205",Recreacao_e_cultura,Periodicos_livros_e_revistas,Codigo  %in% c(,"2701:2703, 3204:3205","), """,38003,""",",Periodicos_livros_e_revistas,38003
