0,1,2,3,4,6,13,14,15,16,17,18,19,20,21
2002,Alimentação fora do domicílio (DAF),Alimentacao_fora_do_dom,Lanches,"24037, 24053:24054, 24056:24057, 41006, 49026",,,,,,,,,,
2002,Alimentação fora do domicílio (DAF),Alimentacao_fora_do_dom,Cervejas_e_outras_alcoolicas,24009:24012,,,,,,,,,,
2002,Alimentação fora do domicílio (DAF),Alimentacao_fora_do_dom,Outras_alimentacao_fora_do_dom,"24003, 24008, 24014:24019, 24023:24027, 24030, 24034:24035, 24038, 24050, 24058, 24061, 24096:24098",,,,,,,,,,
2002,Alimentação fora do domicílio (DAF),Servicos_e_taxas,Aluguel,"10005, 10010, 10016, 10018, 10090",,Aluguel,"10005, 10010, 10016, 10018, 10090",Codigo  %in% c(,"10005, 10010, 10016, 10018, 10090","), """,31001,""",",Aluguel,31001
2002,Alimentação fora do domicílio (DAF),Servicos_e_taxas,Energia_eletrica,7002,,Energia_eletrica,7002,Codigo  %in% c(,7002,"), """,31002,""",",Energia_eletrica,31002
2002,Despesas diversas (DDI),Servicos_e_taxas,Telefone_fixo,7004,,Telefone_fixo,7004,Codigo  %in% c(,7004,"), """,31003,""",",Telefone_fixo,31003
2002,Despesas diversas (DDI),Servicos_e_taxas,Telefone_celular,28055,,Telefone_celular,28055,Codigo  %in% c(,28055,"), """,31004,""",",Telefone_celular,31004
2002,Despesas diversas (DDI),Servicos_e_taxas,Gas_domestico,"7003, 7005",,Gas_domestico,"7003, 7005",Codigo  %in% c(,"7003, 7005","), """,31005,""",",Gas_domestico,31005
2002,Despesas diversas (DDI),Servicos_e_taxas,Agua_e_esgoto,7001,,Agua_e_esgoto,7001,Codigo  %in% c(,7001,"), """,31006,""",",Agua_e_esgoto,31006
2002,Despesas diversas (DDI),Servicos_e_taxas,Outros_servicos_etc,"7016:7017, 10012, 10019, 12003, 12005:12015, 12017:12019, 12021:12025, 12026, 12096",,Outros_servicos_etc,"7016:7017, 10012, 10019, 12003, 12005:12015, 12017:12019, 12021:12025, 12026, 12096",Codigo  %in% c(,"7016:7017, 10012, 10019, 12003, 12005:12015, 12017:12019, 12021:12025, 12026, 12096","), """,31007,""",",Outros_servicos_etc,31007
