0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22
Cod,Quadro,Codigo,Variavel,Nivel_1,Descricao_1,Nivel_2,Descricao_2,Nivel_3,Descricao_3,Nivel_4,Descricao_4,Nivel_5,Descricao_5,Nivel_6,Descricao_6,DePara,Nivel 1,Nível 2,Descrição,Codigo final
63038,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011013,Orgânicos,63038,FEIJAO MULATINHO ORGANICO e sinonimos,01204,2. Hortaliças,2.3 Hortaliças tuberosas e outras,x.x.x Inhame,02307
63039,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011013,Orgânicos,63039,FEIJAO PRETO ORGANICO e sinonimos,01205,2. Hortaliças,2.3 Hortaliças tuberosas e outras,x.x.xx Mandioca,02308
63040,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011013,Orgânicos,63040,FEIJAO FRADINHO ORGANICO e sinonimos,01201,2. Hortaliças,2.3 Hortaliças tuberosas e outras,x.x.xx Outrasx.x.x Cará,02309
63041,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011013,Orgânicos,63041,FEIJAO NAO-ESPECIFICADO ORGANICO e sinonimos,01208,3. Frutas,3.1 Frutas de clima tropical,x.x.x Abacate,03101
63042,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63042,MILHO DE PIPOCA PARA MICROONDAS LIGHT e sinonimos,01102,3. Frutas,3.1 Frutas de clima tropical,x.x.x Abacaxi,03102
63043,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011013,Orgânicos,63043,ARROZ POLIDO ORGANICO e sinonimos,01101,3. Frutas,3.1 Frutas de clima tropical,x.x.x Banana-d'água,03103
63044,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011013,Orgânicos,63044,ARROZ INTEGRAL ORGANICO e sinonimos,01101,3. Frutas,3.1 Frutas de clima tropical,x.x.x Banana-maçã,03104
63045,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011013,Orgânicos,63045,ARROZ COM CASCA ORGANICO,01101,3. Frutas,3.1 Frutas de clima tropical,x.x.x Banana-prata,03105
63046,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijão,63046,FEIJAO DA PRAIA,01208,3. Frutas,3.1 Frutas de clima tropical,x.x.x Outras bananasx.x.x Banana-ourox.x.x Banana-da-terra,03106
63047,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63047,LINHACA DOURADA,01209,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Laranja-baía,03107
63048,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63048,SORGO EM GRAO,01209,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Laranja-lima,03108
63049,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63049,QUINOA,01209,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Laranja-pêra,03109
63050,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijao,63050,FEIJAO BRANCO,01209,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Laranja-seleta,03110
