0,1,2,3,4,5,6,7,8,9
,,"Tabela 419 - Aquisição (monetária) alimentar domiciliar per capita anual por grupos, subgrupos e produtos e classes de recebimento mensal familiar",,,,,,,
,,Variável - Aquisição (monetária) alimentar domiciliar per capita anual (Quilogramas),,,,,,,
,,Total das áreas - POF - Total das áreas,,,,,,,
,,Classes de recebimento mensal familiar - Total,,,,,,,
,,"Grupos, subgrupos e produtos",Ano,,,,,,
,,,1987,1995,2002,2008,,,
"4. Cocos, castanhas e nozes",NADA,"4. Cocos, castanhas e nozes",0.769,0.641,0.808,0.57,"4. Cocos, castanhas e nozes",,"4. Cocos, castanhas e nozes"
"4. Cocos, castanhas e nozes",4.1 Cocos,4.1 Cocos,0.655,0.577,0.736,0.524,4.1 Cocos,,4.1 Cocos
"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.1 Coco-açaí em pasta,0.265,0.228,...,...,,4.1.1 Coco-açaí em pasta4.1.1 Açaí (emulsão),4.1.1 Coco-açaí em pasta4.1.1 Açaí (emulsão)
"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.1 Açaí (emulsão),...,...,0.468,0.349,4.1.1 Açaí (emulsão),,4.1.1 Açaí (emulsão)
"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.2 Coco-da-baía,0.38,0.343,0.19,0.075,4.1.2 Coco-da-baía,,4.1.2 Coco-da-baía
"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.3 Outros,0.01,0.007,0.078,0.1,4.1.3 Outros,,4.1.3 Outros
"4. Cocos, castanhas e nozes",4.2 Castanhas e nozes,4.2 Castanhas e nozes,0.115,0.065,0.072,0.047,4.2 Castanhas e nozes,4.2 Castanhas e nozes4.2.1 Castanhas e nozes,4.2 Castanhas e nozes4.2.1 Castanhas e nozes
"4. Cocos, castanhas e nozes",4.2 Castanhas e nozes,4.2.1 Castanhas e nozes,0.115,0.065,...,...,,,0
"5. Farinhas, féculas e massas",NADA,"5. Farinhas, féculas e massas",17.745,14.69,12.588,11.329,"5. Farinhas, féculas e massas",,"5. Farinhas, féculas e massas"
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1 Farinhas,9.15,7.218,5.673,4.52,5.1 Farinhas,,5.1 Farinhas
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.1 Farinha de mandioca,4.623,3.765,3.045,2.284,5.1.1 Farinha de mandioca,,5.1.1 Farinha de mandioca
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.2 Farinha de rosca,0.104,0.122,0.097,0.061,5.1.2 Farinha de rosca,,5.1.2 Farinha de rosca
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.3 Farinha de trigo,4.066,3.102,2.365,1.92,5.1.3 Farinha de trigo,,5.1.3 Farinha de trigo
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.4 Farinha vitaminada,0.307,0.157,0.129,0.106,5.1.4 Farinha vitaminada,,5.1.4 Farinha vitaminada
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.5 Outras,0.05,0.071,0.037,0.149,5.1.5 Outras,,5.1.5 Outras
"5. Farinhas, féculas e massas",5.2 Féculas,5.2 Féculas,3.769,2.968,2.158,2.247,5.2 Féculas,,5.2 Féculas
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.1 Amido de milho,0.39,0.171,0.089,0.072,5.2.1 Amido de milho,,5.2.1 Amido de milho
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.2 Creme de arroz,...,...,0.123,0.099,,,0
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.3 Creme de milho,0.083,0.098,0.072,0.139,5.2.3 Creme de milho,,5.2.3 Creme de milho
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.4 Fécula de mandioca,0.442,0.288,0.314,0.304,5.2.4 Fécula de mandioca,,5.2.4 Fécula de mandioca
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.5 Flocos de cereal,0.179,0.111,...,...,,,0
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.5 Flocos de aveia,...,...,0.053,0.09,,,0
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.6 Flocos de milho,0.347,0.366,0.207,0.369,5.2.6 Flocos de milho,,5.2.6 Flocos de milho
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.7 Flocos de outros cereais,...,...,0.088,0.103,,,0
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.8 Fubá de milho,2.036,1.74,1.211,1.066,5.2.8 Fubá de milho,,5.2.8 Fubá de milho
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.9 Outras,0.291,0.192,-,0.005,5.2.9 Outras,5.2.5 Flocos de cereal5.2.5 Flocos de aveia5.2.7 Flocos de outros cereais5.2.9 Outras,5.2.5 Flocos de cereal5.2.5 Flocos de aveia5.2.7 Flocos de outros cereais5.2.9 Outras
"5. Farinhas, féculas e massas",5.3 Massas,5.3 Massas,4.826,4.503,4.757,4.561,5.3 Massas,,5.3 Massas
"5. Farinhas, féculas e massas",5.3 Massas,5.3.1 Macarrão com ovos,2.888,2.454,1.58,1.345,5.3.1 Macarrão,5.3.1 Macarrão com ovos5.3.2 Macarrão não especificado5.3.3 Macarrão sem ovos,5.3.1 Macarrão com ovos5.3.2 Macarrão não especificado5.3.3 Macarrão sem ovos
"5. Farinhas, féculas e massas",5.3 Massas,5.3.2 Macarrão não especificado,...,...,1.617,2.262,,,0
"5. Farinhas, féculas e massas",5.3 Massas,5.3.3 Macarrão sem ovos,1.265,1.205,0.798,0.329,,,0
"5. Farinhas, féculas e massas",5.3 Massas,5.3.4 Massa de lasanha,...,...,0.176,0.167,,,0
"5. Farinhas, féculas e massas",5.3 Massas,5.3.5 Massa de pastel,0.239,0.101,0.106,0.177,5.3.5 Massa de pastel,,5.3.5 Massa de pastel
"5. Farinhas, féculas e massas",5.3 Massas,5.3.6 Massa de pizza,...,...,0.258,0.16,,,0
"5. Farinhas, féculas e massas",5.3 Massas,5.3.7 Outras,0.434,0.743,0.222,0.122,5.3.7 Outras,5.3.6 Massa de pizza5.3.7 Outras5.3.4 Massa de lasanha,5.3.6 Massa de pizza5.3.7 Outras5.3.4 Massa de lasanha
6. Panificados,NADA,6. Panificados,27.035,25.367,25.141,25.716,6. Panificados,,6. Panificados
6. Panificados,6.1 Pães,6.1 Pães,23.326,21.004,19.936,20.298,6.1 Pães,,6.1 Pães
6. Panificados,6.1 Pães,6.1.1 Pão caseiro,...,...,0.047,0.109,,,0
6. Panificados,6.1 Pães,6.1.2 Pão de forma de padaria,...,...,0.044,0.083,,,0
6. Panificados,6.1 Pães,6.1.3 Pão de forma industrializado,1.588,1.061,1.336,1.418,6.1.3 Pão de forma industrializado,,6.1.3 Pão de forma industrializado
6. Panificados,6.1 Pães,6.1.4 Pão de milho,...,...,0.111,0.135,,,0
