0,1,2,3,4,6,7,8
2. Hortaliças,2.3.1 Alho,2.3.3 Batata-baroa,,False,3. Frutas,3.1 Frutas de clima tropical,3.1.17 Mamão
2. Hortaliças,2.3.1 Alho,2.3.4 Batata-doce,2.3.4 Batata-doce,True,3. Frutas,3.1 Frutas de clima tropical,3.1.18 Manga
2. Hortaliças,2.3.1 Alho,2.3.5 Batata-inglesa,2.3.5 Batata-inglesa,True,3. Frutas,3.1 Frutas de clima tropical,3.1.19 Maracujá
2. Hortaliças,2.3.1 Alho,2.3.6 Batata não especificada,2.3.6 Batata não especificada2.3.3 Batata-baroa2.3.2 Batata-aipo,True,3. Frutas,3.1 Frutas de clima tropical,3.1.2 Melancia
2. Hortaliças,2.3.1 Alho,2.3.7 Beterraba,2.3.7 Beterraba,True,3. Frutas,3.1 Frutas de clima tropical,3.1.21 Melão
2. Hortaliças,2.3.1 Alho,2.3.8 Cebola fresca,,False,3. Frutas,3.1 Frutas de clima tropical,3.1.22 Tangerina
2. Hortaliças,2.3.1 Alho,2.3.8 Cará,,False,3. Frutas,3.1 Frutas de clima tropical,3.1.23 Outras3.1.15 Outras laranjas3.1.1 Goiaba3.1.3 Acerola
2. Hortaliças,2.3.1 Alho,2.3.9 Cenoura,2.3.9 Cenoura,True,3. Frutas,3.2 Frutas de clima temperado,3.2.2 Caqui
2. Hortaliças,2.3.1 Alho,2.3.10 Inhame,2.3.1 Inhame,True,3. Frutas,3.2 Frutas de clima temperado,3.2.3 Maçã
2. Hortaliças,2.3.1 Alho,2.3.11 Mandioca,2.3.11 Mandioca,True,3. Frutas,3.2 Frutas de clima temperado,3.2.5 Pêra
2. Hortaliças,2.3.1 Alho,2.3.12 Outras,2.3.12 Outras2.3.8 Cará,True,3. Frutas,3.2 Frutas de clima temperado,3.2.7 Uva
3. Frutas,NADA,3. Frutas,3. Frutas,False,3. Frutas,3.2 Frutas de clima temperado,3.2.8 Outras3.2.6 Pêssego3.2.4 Morango3.2.1 Ameixa
3. Frutas,3.1 Frutas de clima tropical,3.1 Frutas de clima tropical,3.1 Frutas de clima tropical,False,"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.1 Coco-açaí em pasta4.1.1 Açaí (emulsão)
3. Frutas,3.1 Frutas de clima tropical,3.1.1 Abacate,3.1.1 Abacate,True,"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.1 Açaí (emulsão)
3. Frutas,3.1 Frutas de clima tropical,3.1.2 Abacaxi,3.1.2 Abacaxi,True,"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.2 Coco-da-baía
3. Frutas,3.1 Frutas de clima tropical,3.1.3 Acerola,,False,"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.3 Outros
3. Frutas,3.1 Frutas de clima tropical,3.1.4 Banana-d'água,3.1.4 Banana-d'água,True,"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.1 Farinha de mandioca
3. Frutas,3.1 Frutas de clima tropical,3.1.5 Banana-da-terra,,False,"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.2 Farinha de rosca
3. Frutas,3.1 Frutas de clima tropical,3.1.6 Banana-maçã,3.1.6 Banana-maçã,True,"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.3 Farinha de trigo
3. Frutas,3.1 Frutas de clima tropical,3.1.7 Banana-ouro,,False,"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.4 Farinha vitaminada
3. Frutas,3.1 Frutas de clima tropical,3.1.8 Banana-prata,3.1.8 Banana-prata,True,"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.5 Outras
3. Frutas,3.1 Frutas de clima tropical,3.1.9 Outras bananas,3.1.9 Outras bananas3.1.7 Banana-ouro3.1.5 Banana-da-terra,True,"5. Farinhas, féculas e massas",5.2 Féculas,5.2.1 Amido de milho
3. Frutas,3.1 Frutas de clima tropical,3.1.10 Goiaba,,False,"5. Farinhas, féculas e massas",5.2 Féculas,5.2.3 Creme de milho
3. Frutas,3.1 Frutas de clima tropical,3.1.11 Laranja-baía,3.1.11 Laranja-baía,True,"5. Farinhas, féculas e massas",5.2 Féculas,5.2.4 Fécula de mandioca
3. Frutas,3.1 Frutas de clima tropical,3.1.12 Laranja-lima,3.1.12 Laranja-lima,True,"5. Farinhas, féculas e massas",5.2 Féculas,5.2.6 Flocos de milho
3. Frutas,3.1 Frutas de clima tropical,3.1.13 Laranja-pêra,3.1.13 Laranja-pêra,True,"5. Farinhas, féculas e massas",5.2 Féculas,5.2.8 Fubá de milho
3. Frutas,3.1 Frutas de clima tropical,3.1.14 Laranja-seleta,3.1.14 Laranja-seleta,True,"5. Farinhas, féculas e massas",5.2 Féculas,5.2.5 Flocos de cereal5.2.5 Flocos de aveia5.2.7 Flocos de outros cereais5.2.9 Outras
3. Frutas,3.1 Frutas de clima tropical,3.1.15 Outras laranjas,,False,"5. Farinhas, féculas e massas",5.3 Massas,5.3.1 Macarrão com ovos5.3.2 Macarrão não especificado5.3.3 Macarrão sem ovos
3. Frutas,3.1 Frutas de clima tropical,3.1.16 Limão comum,3.1.16 Limão comum,True,"5. Farinhas, féculas e massas",5.3 Massas,5.3.5 Massa de pastel
3. Frutas,3.1 Frutas de clima tropical,3.1.17 Mamão,3.1.17 Mamão,True,"5. Farinhas, féculas e massas",5.3 Massas,5.3.6 Massa de pizza5.3.7 Outras5.3.4 Massa de lasanha
3. Frutas,3.1 Frutas de clima tropical,3.1.18 Manga,3.1.18 Manga,True,6. Panificados,6.1 Pães,6.1.3 Pão de forma industrializado
3. Frutas,3.1 Frutas de clima tropical,3.1.19 Maracujá,3.1.19 Maracujá,True,6. Panificados,6.1 Pães,6.1.6 Pão doce
3. Frutas,3.1 Frutas de clima tropical,3.1.20 Melancia,3.1.2 Melancia,True,6. Panificados,6.1 Pães,6.1.7 Pão francês
3. Frutas,3.1 Frutas de clima tropical,3.1.21 Melão,3.1.21 Melão,True,6. Panificados,6.1 Pães,6.1.1 Pão caseiro6.1.2 Pão de forma de padaria6.1.4 Pão de milho6.1.5 Pão de queijo6.1.8 Pão integral6.1.9 Torrada6.1.1 Outros
3. Frutas,3.1 Frutas de clima tropical,3.1.22 Tangerina,3.1.22 Tangerina,True,6. Panificados,6.2 Bolos,6.2.1 Bolo de trigo6.2.2 Outros bolos
3. Frutas,3.1 Frutas de clima tropical,3.1.23 Outras,3.1.23 Outras3.1.15 Outras laranjas3.1.1 Goiaba3.1.3 Acerola,True,6. Panificados,"6.3 Biscoitos, roscas, etc.",6.3.1 Biscoito doce
3. Frutas,3.2 Frutas de clima temperado,3.2 Frutas de clima temperado,3.2 Frutas de clima temperado,False,6. Panificados,"6.3 Biscoitos, roscas, etc.",6.3.3 Biscoito salgado
3. Frutas,3.2 Frutas de clima temperado,3.2.1 Ameixa,,False,6. Panificados,"6.3 Biscoitos, roscas, etc.",6.3.2 Biscoito não especificado6.3.4 Rosca doce6.3.5 Rosca não especificada6.3.6 Rosca salgada6.3.7 Outros
3. Frutas,3.2 Frutas de clima temperado,3.2.2 Caqui,3.2.2 Caqui,True,7. Carnes,7.1 Carnes bovinas de primeira,7.1.1 Alcatra
3. Frutas,3.2 Frutas de clima temperado,3.2.3 Maçã,3.2.3 Maçã,True,7. Carnes,7.1 Carnes bovinas de primeira,7.1.2 Carne moída
3. Frutas,3.2 Frutas de clima temperado,3.2.4 Morango,,False,7. Carnes,7.1 Carnes bovinas de primeira,7.1.3 Carne não especificada
3. Frutas,3.2 Frutas de clima temperado,3.2.5 Pêra,3.2.5 Pêra,True,7. Carnes,7.1 Carnes bovinas de primeira,7.1.4 Chã-de-dentro
3. Frutas,3.2 Frutas de clima temperado,3.2.6 Pêssego,,False,7. Carnes,7.1 Carnes bovinas de primeira,7.1.5 Contrafilé
3. Frutas,3.2 Frutas de clima temperado,3.2.7 Uva,3.2.7 Uva,True,7. Carnes,7.1 Carnes bovinas de primeira,7.1.6 Filé e filé mignon7.1.6 Filé mignon
3. Frutas,3.2 Frutas de clima temperado,3.2.8 Outras,3.2.8 Outras3.2.6 Pêssego3.2.4 Morango3.2.1 Ameixa,True,7. Carnes,7.1 Carnes bovinas de primeira,7.1.7 Lagarto comum
"4. Cocos, castanhas e nozes",NADA,"4. Cocos, castanhas e nozes","4. Cocos, castanhas e nozes",False,7. Carnes,7.1 Carnes bovinas de primeira,7.1.8 Lagarto redondo
"4. Cocos, castanhas e nozes",4.1 Cocos,4.1 Cocos,4.1 Cocos,False,7. Carnes,7.1 Carnes bovinas de primeira,7.1.9 Patinho
"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.1 Coco-açaí em pasta,4.1.1 Coco-açaí em pasta4.1.1 Açaí (emulsão),True,7. Carnes,7.2 Carnes bovinas de segunda,7.2.1 Acém
"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.1 Açaí (emulsão),4.1.1 Açaí (emulsão),True,7. Carnes,7.2 Carnes bovinas de segunda,7.2.2 Capa de filé7.2.4 Carne não especificada7.3.1 Carne de hambúrger7.3.2 Carne de sol7.3.3 Carne moída não especificada7.3.4 Carne não especificada7.3.6 Mocotó7.3.7 Outras
"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.2 Coco-da-baía,4.1.2 Coco-da-baía,True,7. Carnes,7.2 Carnes bovinas de segunda,7.2.3 Carne moída
"4. Cocos, castanhas e nozes",4.1 Cocos,4.1.3 Outros,4.1.3 Outros,True,7. Carnes,7.2 Carnes bovinas de segunda,7.2.5 Costela
"4. Cocos, castanhas e nozes",4.2 Castanhas e nozes,4.2 Castanhas e nozes,4.2 Castanhas e nozes4.2.1 Castanhas e nozes,False,7. Carnes,7.2 Carnes bovinas de segunda,7.2.6 Músculo
"4. Cocos, castanhas e nozes",4.2 Castanhas e nozes,4.2.1 Castanhas e nozes,,False,7. Carnes,7.2 Carnes bovinas de segunda,7.2.7 Pá
"5. Farinhas, féculas e massas",NADA,"5. Farinhas, féculas e massas","5. Farinhas, féculas e massas",False,7. Carnes,7.2 Carnes bovinas de segunda,7.2.8 Peito
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1 Farinhas,5.1 Farinhas,False,7. Carnes,7.2 Carnes bovinas de segunda,7.2.9 Outras
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.1 Farinha de mandioca,5.1.1 Farinha de mandioca,True,7. Carnes,7.3 Carnes bovinas outras,7.3.5 Carne-seca
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.2 Farinha de rosca,5.1.2 Farinha de rosca,True,7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.1 Carré
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.3 Farinha de trigo,5.1.3 Farinha de trigo,True,7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.2 Costela
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.4 Farinha vitaminada,5.1.4 Farinha vitaminada,True,7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.3 Lombo
"5. Farinhas, féculas e massas",5.1 Farinhas,5.1.5 Outras,5.1.5 Outras,True,7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.4 Pernil
"5. Farinhas, féculas e massas",5.2 Féculas,5.2 Féculas,5.2 Féculas,False,7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.5 Porco eviscerado7.4.6 Outras
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.1 Amido de milho,5.2.1 Amido de milho,True,7. Carnes,7.5 Carnes suínas outras,7.5.3 Mortadela
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.2 Creme de arroz,,False,7. Carnes,7.5 Carnes suínas outras,7.5.6 Presunto
