celula,grupo_base,nome_base,grupo_outra,nome_outra,explicada_por,itens
2017:41019,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALUGUEL DE IMOVEIS POR TEMPORADA
2017:41020,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CINEMA (INGRESSO)
2017:41021,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TEATRO (INGRESSO)
2017:41022,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PARQUE DE DIVERSAO (INGRESSO)
2017:41023,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,SHOW (INGRESSO)
2017:41024,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,FUTEBOL DE CAMPO (INGRESSO)
2017:41025,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,VOLEIBOL (INGRESSO)
2017:41026,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AUTOMOBILISMO (INGRESSO)
2017:41027,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"PACOTE TURISTICO NACIONAL (TRANSPORTE, HOSPEDAGEM, ALIMENTACAO E DIVERSAO)"
2017:41028,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"PACOTE TURISTICO NACIONAL (TRANSPORTE, HOSPEDAGEM E ALIMENTACAO)"
2017:41029,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"PACOTE TURISTICO NACIONAL (TRANSPORTE, HOSPEDAGEM E DIVERSAO)"
2017:41030,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PACOTE TURISTICO NACIONAL (TRANSPORTE E HOSPEDAGEM)
2017:41031,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"PACOTE TURISTICO NACIONAL (HOSPEDAGEM, ALIMENTACAO E DIVERSAO)"
2017:41032,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PACOTE TURISTICO NACIONAL (HOSPEDAGEM E ALIMENTACAO)
2017:41033,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PACOTE TURISTICO NACIONAL (HOSPEDAGEM E DIVERSAO)
2017:41034,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"PACOTE TURISTICO INTERNACIONAL (TRANSPORTE, HOSPEDAGEM, ALIMENTACAO E DIVERSAO)"
2017:41035,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"PACOTE TURISTICO INTERNACIONAL (TRANSPORTE, HOSPEDAGEM E ALIMENTACAO)"
2017:41036,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"PACOTE TURISTICO INTERNACIONAL (TRANSPORTE, HOSPEDAGEM E DIVERSAO)"
2017:41037,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PACOTE TURISTICO INTERNACIONAL (TRANSPORTE E HOSPEDAGEM)
2017:41038,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"PACOTE TURISTICO INTERNACIONAL (HOSPEDAGEM, ALIMENTACAO E DIVERSAO)"
2017:41039,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PACOTE TURISTICO INTERNACIONAL (HOSPEDAGEM E ALIMENTACAO)
